Lemma,EffortSeconds
invariant_is_inductive_tm_commit_lemma1,600
invariant_is_inductive_tm_abort_lemma1,1500
invariant_is_inductive_tm_receive_prepared_lemma1,1200
invariant_is_inductive_rm_prepare_lemma1,3600
invariant_is_inductive_rm_abort_lemma1,1800
invariant_is_inductive_rm_rcv_commit_msg_lemma1,900
invariant_is_inductive_rm_rcv_abort_msg_lemma1,900
invariant_is_inductive_tm_commit_lemma2,12600
invariant_is_inductive_tm_abort_lemma2,120
invariant_is_inductive_tm_receive_prepared_lemma2,120
invariant_is_inductive_rm_prepare_lemma2,1800
invariant_is_inductive_rm_abort_lemma2,600
invariant_is_inductive_rm_rcv_commit_msg_lemma2,1800
invariant_is_inductive_rm_rcv_abort_msg_lemma2,300
invariant_is_inductive_tm_commit_lemma3,300
invariant_is_inductive_tm_abort_lemma3,180
invariant_is_inductive_tm_receive_prepared_lemma3,120
invariant_is_inductive_rm_prepare_lemma3,300
invariant_is_inductive_rm_abort_lemma3,180
invariant_is_inductive_rm_rcv_commit_msg_lemma3,120
invariant_is_inductive_rm_rcv_abort_msg_lemma3,480
invariant_is_inductive_tm_commit_lemma4,2700
invariant_is_inductive_tm_abort_lemma4,900
invariant_is_inductive_tm_receive_prepared_lemma4,3600
invariant_is_inductive_rm_prepare_lemma4,3600
invariant_is_inductive_rm_abort_lemma4,1800
invariant_is_inductive_rm_rcv_commit_msg_lemma4,900
invariant_is_inductive_rm_rcv_abort_msg_lemma4,900
invariant_is_inductive_tm_commit_lemma5,1500
invariant_is_inductive_tm_abort_lemma5,180
invariant_is_inductive_tm_receive_prepared_lemma5,3600
invariant_is_inductive_rm_prepare_lemma5,3600
invariant_is_inductive_rm_abort_lemma5,1800
invariant_is_inductive_rm_rcv_commit_msg_lemma5,90
invariant_is_inductive_rm_rcv_abort_msg_lemma5,60
invariant_is_inductive_tm_commit_lemma6,300
invariant_is_inductive_tm_abort_lemma6,1800
invariant_is_inductive_tm_receive_prepared_lemma6,420
invariant_is_inductive_rm_prepare_lemma6,1200
invariant_is_inductive_rm_abort_lemma6,900
invariant_is_inductive_rm_rcv_commit_msg_lemma6,300
invariant_is_inductive_rm_rcv_abort_msg_lemma6,120
